,reviews,Sentiments
4176,All the things were good from delivery to packaging and excellent oil quality 100%recommended ,1
4177,Excellent olive oil Thank you I have told all my friends about this oil and they will order it,1
4178,"I m now regular user of SOL. I have replace my regular oil with SOL.

It's simply excellent. ",1
4179,it is really good as i purchased i suggest to all users shop from daraz it is really reliable,1
4180,"100% satisfied with quality. Good value for money. I will buy again as well, InshaAllah.",1
4181,thanks its delivered also come In time miner damage but its good over all NYC packing ,1
4182,Bhoot bhoot shukria..apki.service b bhoot achi ha or oil b bhoot acha ha ..jazakAllah,1
4183,"4th  in a row, excellent product.  And thanks for delivering in rural area of Punjab",1
4184,I like it will order again but didn’t get 4.5ltr as others received don’t know why?,0
4185,"Nice product with superior quality. I love ❤️ it.
Thanks Team Daraz and Allied Bank",1
4186,"purchased it for the third time. the product, packaging and delivery is excellent",1
4187,my second order best pomace olive oil in this price also 5 stars for vendor ,1
4188,"Thanks , highly recommended .. received on time and in a proper packaging  ",1
4189,"Thanks seller, oil is good enough in reasonable prices. Highly recommended ",1
4190,the product was amazing and vendor is also good i definitely recommend...,1
4191,same product as required and well packed but delivery is little bit late,0
4192,"my mother likes it. good quality n quantity in this price 
recommended ",1
4193,"quick delivery, genuine product, competitive price and trusted seller.",1
4194,Excellent .too good.quality products on daraz.highly recommended .,1
4195,Product received with good packing and with 3 years expired date ,1
4196,overall  good  experience. lekin oil thora leak khar raha tha. ,0
4197,"Masha Allah,  Best Product. Genuine Seller.  Thank you so much",1
4198,"nice packing, timely delivered, good service, genuine product",1
4199,Much better in this price.Taste same like Spanish olive oil.,1
4200,"very good quality product.
Received as per mentioned in add.",1
4201,Superb quality oil. Properly packed and safe. 100% genuine.,1
4202,packing is good delivery on time quantity OK Thanks daraz ,1
4203,"very good packed, not opened yet, hope for a good product.",1
4204,Delivery was slow but product is satisfied expiry is 2023.,1
4205,"Container found  one side damaged. Good packaging 


. ",0
4206,"Good product, good packing and parcel received on time.",1
4207,bought after using two tins. this is 3rd tin i bought,0
4208,this was my third order. very happy with the quality,1
4209,Brilliant Quality And Fast Delivery Thanks Dear Draz,1
4210,Cheaper than Market price Thanks Daraz and Seller,1
4211,good product i this price. seller is recommended,1
4212,The experience was good and want to keep it on.,1
4213,product to thek hy 10% cash back kb Aya ge.,0
4214,Good Product but delivery charges are high ,0
4215,Quick delivery poor service by tcs though ,-1
4216,"Good quality, just like Spanish olive oil ",1
4217,Very good experience q with this seller. ,1
4218,very good product and jazak Allah khaira ,1
4219,Good oil at very low price than market. ,0
4220,"was good,  but not available any more. ",0
4221,Masha'Allah best recommend to all 👍🏻 ,1
4222,"Good product, Thanks Daraz and seller.",1
4223,"Good product, Thanks Daraz and seller.",1
4224,Better product at a reasonable price ,1
4225,Great Service and on time delivery 🤗,1
4226,"voucher k 150 rupees return ni mily
",0
4227,Great tasting and competitive price.,1
4228,Good quality. Highly recommended. ,1
4229,the oil is so heavey its not light,0
4230,Excellent and best quality product,1
4231,looks ok. fat content is too high,0
4232,Good product in reasonable price ,1
4233,Good Quality at Reasonable Price,1
4234,Very light and good in quality. ,1
4235,"Awesome product,  3rd purchase ",1
4236,"is very very great experience, ",1
4237,highly recommended.best product,0
4238,Awesome Product and good taste.,1
4239,"Good product, Good packaging ",1
4240,"Good Quality,  Great Product ",1
4241,Nice product.premium quality.,1
4242,"Original taste, good product ",1
4243,well packed and good quality,1
4244,Good product in given price ,1
4245,Not really a good olive oil,-1
4246,"As always, awosome product ",0
4247,nice packaging and quality ,1
4248,Its imported Product OLIVE,0
4249,Everything was excellent. ,1
4250,"On time delivery, thanks!",1
4251,good oil and natural tast,1
4252,"Awesome, Thanks for gift.",1
4253,good oil for cooking ,1
4254,Good quality product ,1
4255,Good quality product ,1
4256,recieved at the time,0
4257,Good in given price ,1
4258,both tin is damaged.,-1
4259,Very fast delivery ,0
4260,Best for cooking ❤️,1
4261,Highly recommended,0
4262,Very good quality,1
4263,Original and good,1
4264,Quality product ,0
4265,that's very good,1
4266,Awosome product ,0
4267,Good Product 👍,1
4268,best product ,1
4269,Good quality.,1
4270,recommend 👍,1
4271,good product,1
4272,Recommended.,0
4273,good product,1
4274,I'm buy second time because ye oil miracle hai mere hair oil se bohat ache hogai aur girna bhi band hogae Jo bhi girl and boys use kare sarso ya coconut oil me Thora SA mix kar ke lagae thanks.,1
4275,they packed the item very well💕💕💕 I want it for my hair growth 💓 let's hope to see positive results.... overall experience is good with sac,1
4276,I'm buying first time and use karke bataongi I hope is ka result bohat acha hoga because people's highly recommend this oil for hair growth.,1
4277,Nice product delivered on time with long expiry..,1
4278,Well packed in bubble wrap. Timely delivered. ,0
4279,Even the bottle inside box was wrapped. impressed ,1
4280,orignal product with good packing ,1
4281,nice it is of great quality🙂,1
4282,"Your service is very fast. 
I like ur service. 
",1
4283,Bohat acha ha oil,1
4284,"found good product as in the picture
",1
4285,Kindly don’t buy these products they are not essential oils . They are made with essential oils . And secondly they use mineral oil as there base oil . It can cause cencer,1
4286,Good quality and was sealed pack.. other oils I ordered SAc were not sealed and quantity was half..,1
4287,It is real oil I like it. Delivery on time good packing. I recomend others. Thank you daraz,1
4288,product was nicely packed 👌👍 satisfied...but onion oils smell was not good,0
4289,Oil is just OK feel like they fry ginger in vegetable oil to make it.. ,1
4290,"salam, thanks my parcel is rcive, good packing k sath mila جزاک اللہ",1
4291,Bohet acha oil ha MA na do Bara order  Kea quality  bot achi ha,1
4292,zabarbast product ginger oil thanks daraz. 👍👍👍👍😍,1
4293,good..  result is good after use of one time,1
4294,"Nice product
Thanks Draza for a gift",1
4295,Good same as shown in the picture ,1
4296,haven't used yet but seems fine,0
4297,Good Product very well packed,1
4298,excellent product thank you ,1
4299,"It was good, as described. ",1
4300,"Good Product, Recommended.",1
4301,Highly Recommended.....,0
4302,very god product,1
4303,good product ,1
4304,"good quality
",1
4305,good product ,1
4306,Best product,1
4307,Best Product,1
4308,awesome product nicely wrapped in bubble wrap and fast deliver in total 3 days I ordered on in Friday night and got on Tuesday morning nice service well done SAC I WANT TO TELL U THAT MAKE A PRODUCT CATALOGUE and send with Ur every order I'll show Ur whole product range to Ur customer through out Pakistan well thx,1
4309,Helps in digestions and stomach issues.,1
4310,nice.use it after lunch and dinner to resolve digestive problems,0
4311,Excellent product and delivered within no time. Thank you!,1
4312,Good quality.,1
4313,well done daraz.....product is same as shown in the picture ...seller is cooperative...very nice packing on time delivery..thanks .highly recomended,1
4314,"good quality, excellent packaging & exactly as mentioned in the description. 
only I ordered blue and recieved white and pink.. but i'm ok with it!",1
4315,real product same as shown in picture,0
4316,baby is very happy highly recommended,1
4317,very low quality ... ,-1
4318,"Its really innovative attractive product for child
Ya boht hi kmal ka products ha inshallah bjy again
Materials was owsam
Fastest delivery 😍😍💯🚚🚚",1
4319,very good product i really appreciate  thanks for this gift i advised you to buy with out any hesitation ,1
4320,Recommend 👌 buy this if you don't have it  🤩 I'm very satisfied and happy to bought it.Thanks 👌🏻 seller,1
4321,"very good product i really appreciate thanks for this precious gift 
You can buy without any fear ",1
4322,"quality,  material packing  everything is good highly recommend ⭐ happy shopping thanks seller",1
4323,Wow 🤩  Itni zaberdast product bohat useful hai for cleaning baby teeth very soft and safe ☺️ worth money,1
4324,100% accurate product as shown. Quality is Excellent. Unbelievable product in this price 👌🏻,1
4325,"It is very useful for small babies, I really like it , recommended seller.",1
4326,"such a nice baby tootbrush for oral massage, seller response is good",1
4327,very amazing and soft product easy to use to clean baby teeth,1
4328,"a perfect product your kids.material iska kafi soft hai , easy to use hai and i recommend this perfect product for kids , aur delivery  b time per hui ",1
4329,"product was same as shown and described, quality is good i’m happy and satisfied with this purchase 😊",1
4330,I was hesitate to buy from daraz but literally i'm amazed that product quality is very good.Highly recommended.,1
4331,"Good product for babies ❤️ Recommend seller . Thanks E.Zone and Daraz.Received same as shown  in images. Safe for babies good material 🙂
",1
4332,wao very soft and smooth brush. we can easily wash our babies teeth by using our finger inside this brush. very useful product for babies and highly recommended for our children,1
4333,overall experience was good.product is same as shown in the pic.also quality is up to standard.,0
4334,"Nice product, good quality and a good fit for my baby. Material is also safe for oral use. ",1
4335,It is exactly the same how it was described. I would totally recommend this seller 10/10.,1
4336,I received my parcel. Its quality is very good. Its vry soft in use. Highly recommended ,1
4337,This product is very helping in cleaning the teeth of young infants. Happy to Buy it.,1
4338,"Quality is 10/10 as described by seller,Thank you daraz Thank you seller.💯Satisfied",1
4339,"Amazing product impressive softness and safe for child Recommend for all parents
",1
4340,"Baby finger toothbrush, soft and safe. Same as described. Worth a try. ",1
4341,i purchased it for m baby and it makes very easy to clean baby's teeth,1
4342,good product bcho k lye best ha totally recommend thank you selar 😊😊,1
4343,Good quality product. Same as shown in the pics. will buy more. IA.,1
4344,Useful Product for the young one's. You can buy from this seller.,1
4345,Baby finger toothbrush is so soft and of good quality.,1
4346,Very Useful item. Same as described. Thanks Seller,1
4347,Received exactly same item. Thank you Seller ,1
4348,Great Product.  Job done very well. Thanks,1
4349,good quality delivered on time 👍,1
4350,Very good product same as pic 👍 I loved It 😍,1
4351,best quality.. loved itt,1
4352,"Quality is good. Strong made baskets. Good design. 
But they sent me off white color instead of brown. 
",1
4353,"As usual disappointed stuff , very very tiny and small , quite contradictory to actual description ",-1
4354,Easy to place Order & get Timely Delivery at Door step. Product up to expectation.,1
4355,Very good quality 😁😁.. so so happy .. highly recommended seller ,1
4356,Exactly as advertised and good quality - thank you!,1
4357,good quality and service b boat achi hai,1
4358,Beautiful Baskit Thank you seller 👍👍👍,1
4359,the right size was not delievered,0
4360,very beautiful  very nice,1
4361,"Quality wise really nice.
buckles 👍
belts👍
just size of the seat is small from the back side otherwise its a really nice product.
satisfied! 😊 & recommended!",1
4362,not a good material also expensive according to the material.It shouldn't b a stretching belt.baby can't stick with ur chest coz of stretching .baby slipping forward .not recommended by my side,-1
4363,Acha hai bs colour meey mutaqib nhi mila but i appreciate k purple hi dhood kr bheja mjy ye front heart wala chaye tha but still quality achi hai thannk u soo much,1
4364,Buht hi acha baby carrying belt h apka baby safe rhe ga or women baby k sath easily ghr ka kam kr skte hn... Over all good product I advice to purchase this. 👍👍👍,1
4365,"Amazing belt , good quality but did not receive as required color.. 8/10.

Must Recomended.",1
4366,"I received what I orderd. Good quality, same colour as ordered, delivered in 5 days. 
Recommended.!. ",1
4367,"quality is good, i really love this product",1
4368,"Thank you 
Good Quality
Delivered on time
",1
4369,i received my parcel its very useful for baby holding thanks you ,1
4370,"love it! in this lrice its a very good product! if your baby is healthy, plz buy from any shop and not online.. my baby is 12kgs and 10 months old.. it holds him fine but I would never trust the belts for babies",1
4371,"worst. I told them about my 1.5 years healthy daughter. and they sent me new born baby size. money wasted
time wasted. 
need a refund or change it. ",-1
4372,The product is very comfortable and the same as shown in the picture. delivery is also very fast. ,1
4373,"item is good but i order blue and receive sky blue kindly send those thing which is order
",1
4374,its too small and not as delivered as mention in pictures and other reviewers received.,0
4375,Same as picture shows. I like the product. Quality is okay but not bad in such price. ,1
4376,"1-Didn't ask this color. 
2- Quality is not up to the mark. Specially the straps. ",0
4377,its too loose...baby can't b fit in it...otherwise quality is just okay not best,-1
4378,product was good but size is small not standard. .Quality achi hai.,0
4379,intehai bekar h picture se bilkul different h ,0
4380,very small size...worst experience,0
4381,Quality is fine. Recommend to buy.,1
4382,Good product 👍 same as picture ☺️,1
4383,Exactly same as shown in picture.,0
4384,Good quality and well produced!!!,1
4385,same as price and picture.,0
4386,Good product in this price,1
4387,"These are great stacking cups, though wish they could’ve stacked-up more firmly (like blocks do). The quality is really superb and vibrant colours make them attractive for young ones. Each base has an animal picture embossed, so the options of teaching colours, numbers, fruits and animals is superb!",1
4388,Loved it...good quality and affordable price 👍,1
4389,one kg bnd gobi ....thank u daraz d fresh mn 7 sal se daraz customer Hun .but d fresh se Mera ye first experience tha that was ammmaaazzzing or bhi order krunga inshAllah viewers ap bhi buy kren I hop u ll must  like it,1
4390,"Getting good quality of vegetables & fruits in  good offers, very fresh neat and clean, thanks daraz dfresh for making our shopping easy. great shopping experience as always with Daraz.",1
4391,gud n fresh vegetables in reasonable price amazing ,1
4392,"Nicely packed👍
fresh delivered 💞",1
4393,"Daraz dFresh deserves appreciation for providing us good quality vegetables in competitive price.

I ordered, onion , potatoes, spring onion, cabbage, carrots, brinjal, ginger, garlic, lemon, chillies & few other products - & I also got 100rs discount by using daraz coins 🪙😍

Vegetables were all fresh, but i feel like green chillies are not as excellent quality as previous orders, but extremelyy spicy!  Also I didn't found spring onions fresh, it was like bit soggy, except these two things, all vegs were so fresh n clean! got these within  16hrs . Experience  9/10",1
4394,very good service worth it will order again soon insha'Allah it was sent in proper packing fresh items,1
4395,Always order from dfresh excellent quality of vegetables I ordered and I received discount using hbl card it was an excellent experience to buy from dfresh will order again soon inshallah thanks daraz for providing best service best rates and free delivery keep up the good work. Seller is very good and cooperative they reply on time,1
4396,Always order from dfresh excellent quality of vegetables I ordered and I received discount using hbl card it was an excellent experience to buy from dfresh will order again soon inshallah thanks daraz for providing best service best rates and free delivery keep up the good work. Seller is very good and cooperative they reply on time,1
4397,good quality... weight bhi pora aur fresh bhi... sab awesome delivery bhi 1 day aur price bhi achi ... excellent,1
4398,"I always order from dfresh excellent quality of vegetables I ordered and I received discount using hbl card it was an excellent experience to buy from dfresh will order again soon inshallah thanks daraz for providing best service best rates and free delivery keep up the good work. Seller is very good and cooperative they reply on time,",1
4399,"dear sallee once again item are missing, .
I ordered for 1 kg band Gobi received 0.8 kg .
please make sure correct quantity and weight.",1
4400,Amazing experience all vegetables are fabulous highly recommend thanks daraz for providing us such fresh vegetables. .😊,1
4401,Really really good.. delivered what shows on pics .  Thank you daraz and seller too for providing such good products in cheap price. .,1
4402,The quality of cabbage is so good and fresh.. and well packed.. Thank you daraz for sending me good vegetables.. I recommended this..,1
4403,"Here is my experience from Dfresh:- 
* Tomatoes: Fresh, received in mix sizes, both big & small, red fresh tomatoes! 9/10

* Chillies: Absolutely love it, not only fresh & clean but really reasonable prices 1/3rd price from local market rates! 10/10

* Coriander,Mint: Fresh n green, nicely wrapped in paper. 9/10

* Potato: Clean, Nondusty, received in mix sizes 10/10

* Palak/Spanish most part of it was fresh but some of them was dry, shrink leaves 8/10

* Brinjal: Very fresh, all of them was really fresh 10/10

* Capsicum: Veryyy green!! Quantity given was very good. 10/10

* Carrots, Spring Onion, Bund Gobi: Fresh, nicely wrapped 10/10",1
4404,awesome fresh product timely delivered and amazing price....thanks daraz please k the prices low so that we can order it again and again,1
4405,"I always order from dfresh excellent quality of vegetables I ordered and I received discount using hbl card it was an excellent experience to buy from dfresh will order again soon inshallah thanks daraz for providing best service best rates and free delivery keep up the good work. Seller is very good and cooperative they reply on time, today I received donut box ",1
4406,Good nice fresh vegetables at door step. very nice service. I like quality of vegetables delivered. ,1
4407,"Good quallity cabbage, good size too in this highly affordable price. D Fresh is doing wonders. Best wishes!! ",1
4408,Excellent quality of vegetables I ordered and I received discount using visa card it was an excellent experience to buy from dfresh will order again soon inshallah thanks daraz for providing best service best rates and free delivery keep up the good work. Seller is very good and cooperative they reply on time,1
4409,Satisfied but received not same which I got first time means not fresh . .first order veggies were very fresh but this time not . .,-1
4410,Excellent quality of vegetables I ordered and I received discount using hbl card it was an excellent experience to buy from dfresh will order again soon inshallah thanks daraz for providing best service best rates and free delivery keep up the good work. Seller is very good and cooperative they reply on time ,1
4411,"Almost every thing was very fresh, excellent quality vegetables, reasonable price, really satisfied with daraz dfresh",1
4412,fresh vegetables and fruits very well packed and delivered on time happy with the products and services... thanks,1
4413,nice timely delivered weight bhi pora packaging bhi zabardast..all in all best product aur rates bhi zabardast ,1
4414,All vegetables are good clean fresh and reasonable price as compared to our nearer market price. thanks Daraz. Good job seller.,1
4415,fresh vegetables and fruits very well packed and delivered on time happy with the products and services... thanks,1
4416,"Package was received, all the vegetables found good, fresh looking and well packed except 2 items that are missing in delivery:

Note: missing items are delivered next day on 11/12/20 and are fine.",1
4417,"Excellent experienced
Avail discount thanks to Daraz
also received genuine product
nicley pack and ⏩ fast delivery",1
4418,All vegetables are clean fresh and reasonable price as compare to our nearer market rates. thanks daraz. Good job seller.,1
4419,fresh vegetables very well packed and quick delivery...happy with the products and services...seller recommended thanks daraz👍,1
4420,behtareen is mai sab se achi baat yeh thi k achy rate mai mila aue weight bhi pora dfresh is awesome ,1
4421,fresh vegetables very well packed and quick delivery...happy with the products and services...seller recommended thanks daraz👍,1
4422,fresh vegetables very well packed and quick delivery...happy with the products and services...seller recommended thanks daraz👍,1
4423,fresh vegetables very well packed and quick delivery...happy with the products and services...seller recommended thanks daraz👍,1
4424,The vegetables are very fresh and same as described PREMIUM QUALITY. It is in a very cheap price than market. I highly recommend buying products from dFresh.,1
4425,The product is very fresh and same as described. Very quick delivery during lockdown. It is hygienically packed and is of very good quality. I highly recommend buying products from dfresh.,1
4426,This is the second time I bought cabbage from daraz. I am really happy with the product. It is very very fresh and definitely weighed little more than 1 kg.  Very good for the price paid. Thanks a lot daraz.  Surely recommended. ,1
4427,"Not satisfied with the quality.
It wasn't fresh at all. It was getting rusted.
you can see in the pictures.",-1
4428,Received as described. Recommended for every one to Buy from Here. Packaging is also good and when i Buy.,1
4429,The product is same as described.It is very fresh and is of very good quality.quickly delivered in lockdown and price much cheaper than market.I highly recommend buying products from dfresh.,1
4430," product was very nice and was large in size as well.
It was delivered very quickly and on time.Better quality than market vegetables and you can get it at your home with free shipping as well.Highly recommended to buy vegetables from here.",1
4431,Received as described. Recommended for every one to Buy from Here. Packaging is also good and when i Buy. this after cutting photo,1
4432,bund gobhi ki quantity and quality dono hi achi hai daraz pa sa hamesha fresh vegetables mil thi or market ki price kam price mil jaati hai or hamesha time per mil jaati hai.,0
4433,Received as described. Recommended for every one to Buy from Here. Packaging is also good and when i Buy.,1
4434,"The quality and freshness is excellent. 
delivery was after 2 days.
They were well packed with no damage. 
Price are very reasonable and on some products even less than the local nearby market. Totally Satisfied. ",1
4435,"Very good quality and fresh vegetables, reasonable price, delivery in one day only,I recommend it.",1
4436,"Very good quality and fresh vegetables, reasonable price, delivery in one day only,I recommend it.",1
4437,very nice and fresh vegetables available at reasonable prices with free delivery above 500 rupees,1
4438,market say achi quality apko daraz per milen gi thanks DFresh,1
4439,As always cabbage is fresh and of good quality. Recommended. ,1
4440,"Premium quality cabbage, fresh & well packed timely delivered fully satisfied with the seller.",1
4441,thanks DFresh Good Quality,1
4442,behtareen weight bhi pora aur fresh quality zabardast everything is amazing fully satisfied,1
4443,zabardast quality right bhi pora lag raha ha 1 day delivery absolutely up to the mark,0
4444,"very good same as show in advertisement, fresh and nice, good taste, i recommend it.",1
4445,Fresh 👍👍👍 Good Quality 👍👍👍 Same as Described 👍👍👍 I Recommend to Buy 👍👍👍.,1
4446,"Best price & order regularly From dfresh, although it's weight was less than a kg. ",1
4447,good and fresh vegetables at doorstep and rate is less as compared to nearby shops,1
4448,Fresh products and timely delivery.. highly recommended for grocery shopping! 👍,1
4449,This time all vegeitable is good and fresh and timely delivered will be 5 star,1
4450,Very fresh ,1
4451,fresh cabbage thi good quality thanks DFresh,1
4452,good quality product . and thanks for gift ,1
4453,fresh and nice delivered at door step. very good service at reasonable price,1
4454,fresh as always. im using this service from a while. never got any complaint,1
4455,"very good product 👍👍 , good service 👍👍",1
4456,great and cheap price than local market .,1
4457,their packaging is always very good and professional. completely satisfied,1
4458,"fresh Quality low price
happy customer",1
4459,Happy to receive. It was Packed well & delivered even in the lockdown. ,1
4460,is kailea I ot have words smell arahi ha puri geele hai and smell... ,1
4461,Bund Gobhi were fresh and of good quality as always. Nice packaging. ,1
4462,fresh cheap and delivered on time ,0
4463,bohut achi thi fresh or green bilkul or bohut achy price mai thankq,0
4464,behtreen quality ki vegetables hn boht fresh hn jazak Allah ❤️ ye mera first experience tha dfresh par Alhamdulillah boht khushi hui mujhe 💞 rat 11 bjy order kia tha subha 11 bjy mil b gya 😍 very fast service 💞 highly recommend,0
4465,bund ghobi fresh thi lekin hum na 2kg order dia tha or apna 2 piece delivered Kia hain wo b chotay chotay 🙄Why,-1
4466,"very bad, 
خراب ہو رہا ہے ایک دم کچرا،
for animals use
I always use daraz for vegitable and always daraz sent good vegitable but this time I wonder how bad vegitable the sent. very bad. draz loose my trust.",-1
4467,"NICE , FRESH AND VERY QUALITY FRUITS AND VEGETABLES AND VERY FAST DELIVERY - SELLER PERSONALLY RECOMMENDED ",1
4468,Its fresh and affordable. i checked the weight too. its perfect. some are little less and some more grams. its not daraz fault becoze the items are not in pieces . thanks daraz. ,1
4469,Sari vegetables fresh and Good quality Hain 👍. Rate bhi munasib Hain or time per delivered hue Hain . Masha Allah good job.,1
4470,some tomatoes and onions are bad quality but overall not bad. delivery time is good. I am satisfied with it.,0
4471,fresh and fast service low price,0
4472,good and fresh vegetables i love to shopping using Daraz Dfresh. ,1
4473,Good nice and well pack vegetables freshly delivered at door step,1
4474,"very nice product 👍 , reasonable price 💵 , highly recommend 🌟",1
4475,"really glad with the service tried it for the first time.
beyond our expectations. 
keep it up...",1
4476,good nice and fresh at reasonable price recommend others to buy,1
4477,reasonable price... fresh vegetable ,0
4478,its good & fresh vegetables with free delivery. thanx to daraz,1
4479,Recommended for everyone to buy from here. Everything is good,1
4480,best online shop for fresh vegetables and fruit at low price,1
4481,Fresh cabbage. Satisfied,1
4482,"best service
best quality at
low price
reccomended to all",1
4483,All vegetables are fresh Clean and in reasonable price.,1
4484,always behtreen & fresh thanx daraz & special  thanx for surprise gift coca cola can ,1
4485,fresh as always 😍,0
4486,"recommended
thanku",0
4487,band gobi is fresh,0
4488,this is second time I received this type of cabbage,0
4489,everything is fresh well packed and rec on time...,1
4490,vegetables were fresh and delivered on time thanks,1
4491,Fresh cauliflowers. Daraz has made our lives easy.,1
4492,"quality item, fresh, well packed, timely delivered",1
4493,"was fresh and good quality, liked and recommended",1
4494,Fresh cabbage and the weight is also very good.  I am happy with the stuff.  Highly recommended   ,1
4495,"vegetables are very fresh 
quality was also good 
love it surely order next time 
thankyou so much daraz ❤️😊",1
4496,satisfied with freshness...thankss daraz❤❤😍😍,1
4497,good quality,1
4498,Fresh vegetables and delivery always on time,0
4499,fresh stock with one day- timely delivery 🚚,0
4500,bohut achi thi wo b itny km price mai thankq,0
4501,everything is fresh on time delivery 👍😊..,0
4502,"good quality and fresh ,recommended to all",1
4503,weight was less than a kg but was fresh,1
4504,too green but will be consume shortly.,0
4505,nice and fresh vegetables and fruits..,1
4506,good satisfied with all vegetables,1
4507,Very fresh n gud quality vegetables from daraz.Highly recommended.,1
4508,cabbage better and quality fine.,1
4509,Fresh cabbage in perfect packing,1
4510,All vegetables and fruits were fresh as usual. Love your service.,1
4511,"Fresh from dFresh, Good service",1
4512,quick service fresh vegetables.,0
4513,good Quality but delay delivery,0
4514,Cabbage is good and well packed,1
4515,good and fresh vegetables 👍😌,1
4516,Nice packing fresh vegetables ,1
4517,750grams does not equal 1 kg. Please stop sending less weight! ,-1
4518,it's always a wonderful experience buying vegetables from daraz,1
4519,all are fresh recommend it...,1
4520,Totally outstanding freshness,1
4521,cabbage was good in quality ,1
4522,fresh vegetables always..,0
4523,Fresh and nicely packed 👍,1
4524,better product this time,1
4525,always fresh from dFresh,0
4526,good quality vegetables,1
4527,fresh arrived on time,0
4528,good quality Cabbage!,1
4529,The order was perfectly fresh......as shown in picture,1
4530,very very poor.. very bad quality.. never recommended,-1
4531,check the freshness,0
4532,fresh and excellent quality veggies highly recommend,1
4533,Excellent service upto the mark and product as well ,1
4534,Very fresh item,1
4535,good product 👍,1
4536,All vegetables are fresh and delivered in time.,0
4537,Fresh cabbage,0
4538,nice packed coconut 🥥 lag rha hay ☺️☺️,0
4539,good thanks.,1
4540,Satisfactory,1
4541,good quality nd delivery time 100% satisfied,1
4542,"fresh and good quality 
delivered on time ",1
4543,Price is little higher but quality is fine,0
4544,Cabbage was fresh and Good Quality delivered at doorstep on time with free delivery. Thanks daraz for making vegetable and fruits available at doorstep fresh and healthy.,1
4545,All vegetables are fresh.best quality.,0
4546,"Cabbage was fresh and Good Quality delivered at doorstep on time with free delivery. Thanks daraz for making vegetable and fruits available at doorstep fresh and healthy.
",1
4547,   Cabbage was just filled with sand,0
4548,fresh product .. extremely happy :),1
4549,was fresh and well packed and at reasonable price with free delivery at doorstep. Thanks daraz for making vegetables and fruits available at door step very fast that is on next day of order,1
4550,fresh veggies good experience ,1
4551,fresh fresh fresh Cabbage 😊,1
4552,Vegetables were satisfactory,1
4553,All Fresh Veges. Thanks 😊👍,1
4554,good quality and low price ,0
4555,"The cabbage was cheap and fresh. However, I would recommend you to buy the premium one. Because you just have to pay a few more rupees and it is worth it. ",1
4556,this time it disappointed,-1
4557,"Late but Fresh, Satisfied",1
4558,fresh and fast delivery ,0
4559,very fresh. good quality,1
4560,less weight t then 1 kg,0
4561,not fresh and damage,0
4562,very good quality 👍,1
4563,Very good this time ,1
4564,Good experience 😌,1
4565,Fresh as always..,0
4566,very good quality,1
4567,Received fresh ,0
4568,Fresh cabbage,0
4569,good quality,1
4570,Best hai,1
4571,fresh,0
4572,"Got fresh and good vegetable and well packed, Price was very reasonable and is value for money, fully satisfied, Daraz dfresh",1
4573,"Daraz is❤ Got them during Daraz 12.12 Sale I got complementary Coke, really sweet gesture💕 Received in 48hrs ordered so many vegetables from them & everything is upto mark, from quality to quantity, prices are definitely beating market value & we're getting preumium quality! matlab aur Kya chahea?! Fresh, Quick, Premium quality! Recommended",1
4574,"Here is my experience from Dfresh:- 
* Tomatoes: Fresh, received in mix sizes, both big & small, red fresh tomatoes! 9/10

* Chillies: Absolutely love it, not only fresh & clean but really reasonable prices 1/3rd price from local market rates! 10/10

* Coriander,Mint: Fresh n green, nicely wrapped in paper. 9/10

* Potato: Clean, Nondusty, received in mix sizes 10/10

* Palak/Spanish most part of it was fresh but some of them was dry, shrink leaves 8/10

* Brinjal: Very fresh, all of them was really fresh 10/10

* Capsicum: Veryyy green!! Quantity given was very good. 10/10

* Carrots, Spring Onion, Bund Gobi: Fresh, nicely wrapped 10/10",1
4575,"Here is my experience from Dfresh:- 
* Tomatoes: Fresh, received in mix sizes, both big & small, red fresh tomatoes! 9/10

* Chillies: Absolutely love it, not only fresh & clean but really reasonable prices 1/3rd price from local market rates! 10/10

* Coriander,Mint: Fresh n green, nicely wrapped in paper. 9/10

* Potato: Clean, Nondusty, received in mix sizes 10/10

* Palak/Spanish most part of it was fresh but some of them was dry, shrink leaves 8/10

* Brinjal: Very fresh, all of them was really fresh 10/10

* Capsicum: Veryyy green!! Quantity given was very good. 10/10

* Carrots, Spring Onion, Bund Gobi: Fresh, nicely wrapped 10/10",1
4576,very fresh cabbage as always gud experience made vry tasty dish. ,1
4577,"The quality of the item was not very good. Moreover,   weight of the item was less. I ordered 1 kg but they sent me 742 gm which is not fair. I complained to Daraz but they refused to take any action.",-1
4578,I have been a regular dfresh customer and I'm satisfied everytime with the purchase. good quality fresh cabbage delivered to my house the next day of ordering. the taste of this cabbage is great. nice competitive pricing lower than market. will definitely order more in future. recommended.,1
4579,fresh,0
4580,"Best platform to buy fresh vegetables from daraz dfresh, deliver on time with proper packing, really satisfied with quality,",1
4581,"Here is my experience from Dfresh:- 
* Tomatoes: Fresh, received in mix sizes, both big & small, red fresh tomatoes! 9/10

* Chillies: Absolutely love it, not only fresh & clean but really reasonable prices 1/3rd price from local market rates! 10/10

* Coriander,Mint: Fresh n green, nicely wrapped in paper. 9/10

* Potato: Clean, Nondusty, received in mix sizes 10/10

* Palak/Spanish most part of it was fresh but some of them was dry, shrink leaves 8/10

* Brinjal: Very fresh, all of them was really fresh 10/10

* Capsicum: Veryyy green!! Quantity given was very good. 10/10

* Carrots, Spring Onion, Bund Gobi: Fresh, nicely wrapped 10/10",1
